date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:14:13	42237/42237	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Jun%202025%2011:43:31%20GMT	https://pathivu.dreamstechnologies.com/html/template/index.html	D:/templates/legalsrevice/pathivu.dreamstechnologies.com/html/template/index.html	(from )
21:14:13	587/587	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2005%20Jul%202025%2015:44:14%20GMT	https://pathivu.dreamstechnologies.com/robots.txt		(from )
21:14:14	481/481	---M--	200	added ('OK')	image/png	etag:%222f1-637c3057ee22b%22	https://pathivu.dreamstechnologies.com/html/template/assets/img/favicon.png	D:/templates/legalsrevice/pathivu.dreamstechnologies.com/html/template/assets/img/favicon.png	(from https://pathivu.dreamstechnologies.com/html/template/index.html)
21:14:14	232803/232803	---M-Z	200	added ('OK')	text/css	etag:%2238d63-637c3057e8082-gzip%22	https://pathivu.dreamstechnologies.com/html/template/assets/css/bootstrap.min.css	D:/templates/legalsrevice/pathivu.dreamstechnologies.com/html/template/assets/css/bootstrap.min.css	(from https://pathivu.dreamstechnologies.com/html/template/index.html)
21:14:14	56777/56777	---M-Z	200	added ('OK')	text/css	etag:%22ddc9-637c30586f0b9-gzip%22	https://pathivu.dreamstechnologies.com/html/template/assets/plugins/fontawesome/css/fontawesome.min.css	D:/templates/legalsrevice/pathivu.dreamstechnologies.com/html/template/assets/plugins/fontawesome/css/fontawesome.min.css	(from https://pathivu.dreamstechnologies.com/html/template/index.html)
21:14:14	73890/73890	---M-Z	200	added ('OK')	text/css	etag:%22120a2-637c30586f0b9-gzip%22	https://pathivu.dreamstechnologies.com/html/template/assets/plugins/fontawesome/css/all.min.css	D:/templates/legalsrevice/pathivu.dreamstechnologies.com/html/template/assets/plugins/fontawesome/css/all.min.css	(from https://pathivu.dreamstechnologies.com/html/template/index.html)
21:14:15	623511/623511	---MCZ	200	added ('OK')	text/css	etag:%2298397-637c3057e97f2-gzip%22	https://pathivu.dreamstechnologies.com/html/template/assets/css/style.css	D:/templates/legalsrevice/pathivu.dreamstechnologies.com/html/template/assets/css/style.css	(from https://pathivu.dreamstechnologies.com/html/template/index.html)
21:14:15	1069/1069	---M--	200	added ('OK')	image/png	etag:%2272b-637c305869eb1%22	https://pathivu.dreamstechnologies.com/html/template/assets/img/logo.png	D:/templates/legalsrevice/pathivu.dreamstechnologies.com/html/template/assets/img/logo.png	(from https://pathivu.dreamstechnologies.com/html/template/index.html)
21:14:16	50690/50690	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Jun%202025%2011:43:31%20GMT	https://pathivu.dreamstechnologies.com/html/template/index-two.html	D:/templates/legalsrevice/pathivu.dreamstechnologies.com/html/template/index-two.html	(from https://pathivu.dreamstechnologies.com/html/template/index.html)
21:14:16	46884/46884	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Jun%202025%2011:43:31%20GMT	https://pathivu.dreamstechnologies.com/html/template/index-three.html	D:/templates/legalsrevice/pathivu.dreamstechnologies.com/html/template/index-three.html	(from https://pathivu.dreamstechnologies.com/html/template/index.html)
21:14:16	32007/32007	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Jun%202025%2011:43:31%20GMT	https://pathivu.dreamstechnologies.com/html/template/index-four.html	D:/templates/legalsrevice/pathivu.dreamstechnologies.com/html/template/index-four.html	(from https://pathivu.dreamstechnologies.com/html/template/index.html)
21:14:16	38037/38037	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Jun%202025%2011:43:31%20GMT	https://pathivu.dreamstechnologies.com/html/template/index-five.html	D:/templates/legalsrevice/pathivu.dreamstechnologies.com/html/template/index-five.html	(from https://pathivu.dreamstechnologies.com/html/template/index.html)
21:14:16	51527/51527	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Jun%202025%2011:43:31%20GMT	https://pathivu.dreamstechnologies.com/html/template/index-six.html	D:/templates/legalsrevice/pathivu.dreamstechnologies.com/html/template/index-six.html	(from https://pathivu.dreamstechnologies.com/html/template/index.html)
21:14:17	32072/32072	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Jun%202025%2011:43:31%20GMT	https://pathivu.dreamstechnologies.com/html/template/index-seven.html	D:/templates/legalsrevice/pathivu.dreamstechnologies.com/html/template/index-seven.html	(from https://pathivu.dreamstechnologies.com/html/template/index.html)
21:14:17	52671/52671	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Jun%202025%2011:43:31%20GMT	https://pathivu.dreamstechnologies.com/html/template/index-eight.html	D:/templates/legalsrevice/pathivu.dreamstechnologies.com/html/template/index-eight.html	(from https://pathivu.dreamstechnologies.com/html/template/index.html)
21:14:17	44029/44029	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Jun%202025%2011:43:31%20GMT	https://pathivu.dreamstechnologies.com/html/template/index-nine.html	D:/templates/legalsrevice/pathivu.dreamstechnologies.com/html/template/index-nine.html	(from https://pathivu.dreamstechnologies.com/html/template/index.html)
21:14:17	41270/41270	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Jun%202025%2011:43:31%20GMT	https://pathivu.dreamstechnologies.com/html/template/index-ten.html	D:/templates/legalsrevice/pathivu.dreamstechnologies.com/html/template/index-ten.html	(from https://pathivu.dreamstechnologies.com/html/template/index.html)
21:14:17	49281/49281	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Jun%202025%2011:43:31%20GMT	https://pathivu.dreamstechnologies.com/html/template/index-eleven.html	D:/templates/legalsrevice/pathivu.dreamstechnologies.com/html/template/index-eleven.html	(from https://pathivu.dreamstechnologies.com/html/template/index.html)
21:14:18	56593/56593	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Jun%202025%2011:43:31%20GMT	https://pathivu.dreamstechnologies.com/html/template/index-twelve.html	D:/templates/legalsrevice/pathivu.dreamstechnologies.com/html/template/index-twelve.html	(from https://pathivu.dreamstechnologies.com/html/template/index.html)
21:14:18	88305/88305	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Jun%202025%2011:43:31%20GMT	https://pathivu.dreamstechnologies.com/html/template/index-thirteen.html	D:/templates/legalsrevice/pathivu.dreamstechnologies.com/html/template/index-thirteen.html	(from https://pathivu.dreamstechnologies.com/html/template/index.html)
21:14:18	48372/48372	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Jun%202025%2011:43:31%20GMT	https://pathivu.dreamstechnologies.com/html/template/index-fourteen.html	D:/templates/legalsrevice/pathivu.dreamstechnologies.com/html/template/index-fourteen.html	(from https://pathivu.dreamstechnologies.com/html/template/index.html)
21:14:18	36790/36790	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Jun%202025%2011:43:31%20GMT	https://pathivu.dreamstechnologies.com/html/template/instructor-dashboard.html	D:/templates/legalsrevice/pathivu.dreamstechnologies.com/html/template/instructor-dashboard.html	(from https://pathivu.dreamstechnologies.com/html/template/index.html)
21:14:18	29804/29804	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Jun%202025%2011:43:31%20GMT	https://pathivu.dreamstechnologies.com/html/template/courses.html	D:/templates/legalsrevice/pathivu.dreamstechnologies.com/html/template/courses.html	(from https://pathivu.dreamstechnologies.com/html/template/index.html)
21:14:19	36861/36861	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Jun%202025%2011:43:30%20GMT	https://pathivu.dreamstechnologies.com/html/template/appointments.html	D:/templates/legalsrevice/pathivu.dreamstechnologies.com/html/template/appointments.html	(from https://pathivu.dreamstechnologies.com/html/template/index.html)
21:14:19	30781/30781	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Jun%202025%2011:43:31%20GMT	https://pathivu.dreamstechnologies.com/html/template/schedule-timings.html	D:/templates/legalsrevice/pathivu.dreamstechnologies.com/html/template/schedule-timings.html	(from https://pathivu.dreamstechnologies.com/html/template/index.html)
21:14:19	29370/29370	---MCZ	200	added ('OK')	text/html	date:Tue,%2017%20Jun%202025%2011:43:31%20GMT	https://pathivu.dreamstechnologies.com/html/template/my-student.html	D:/templates/legalsrevice/pathivu.dreamstechnologies.com/html/template/my-student.html	(from https://pathivu.dreamstechnologies.com/html/template/index.html)
